pl,slug
skupiona obrona,focused_defense
kierowana artyleria,guided_ordnance
strun wraith - schemat,strun_wraith_blueprint
tytaniczny pięściarz,titanic_rumbler
spira prime - schemat,spira_prime_blueprint
spira prime: zestaw,spira_prime_set
sheev: ostrze,sheev_blade
sheev: radiator,sheev_heatsink
sheev: zestaw,sheev_set
balboa,rumbled
snipetron vandal - schemat,snipetron_vandal_blueprint
piła łowczego,hunters_bonesaw
velocitus: lufa,velocitus_barrel
odporność na toksyny,toxin_resistance
nami skyla prime: zestaw,nami_skyla_prime_set
kronen prime: zestaw,kronen_prime_set
helios prime: systemy,helios_prime_systems
wydłużenie,extend
atak gorączki prime,primed_fever_strike
eksodia zakażenia,exodia_contagion
tiberon prime: zestaw,tiberon_prime_set
eksodia zarazy,exodia_epidemic
mirage prime: systemy - schemat,mirage_prime_systems_blueprint
mirage prime - schemat,mirage_prime_blueprint
szybkie dobycie prime,primed_quickdraw
mecha naładowanie,mecha_recharge
syntetyczne włókno,synth_fiber
cisza,hush
fragor prime: obuch,fragor_prime_head
tratowanie,trample
wiertło,metal_auger
mistrz złodziejski,master_thief
krio powłoka,cryo_coating
rozrywająca masa,bursting_mass
tipedo prime: zestaw,tipedo_prime_set
prawdziwa stal,true_steel
czterej jeźdźcy,four_riders
vectis prime - schemat,vectis_prime_blueprint
zwierzęcy instynkt,animal_instinct
promień spalenia,combustion_beam
luneta harkonar,harkonar_scope
scena: chodnik gazozo,gas_city_walkway_scene
scena: ślepy zaułek gazozo,gas_city_dead_exit_scene
aerodynamika,aerodynamic
atlas prime: zestaw,atlas_prime_set
tekko prime: ostrze,tekko_prime_blade
tekko prime: zestaw,tekko_prime_set
tekko prime - schemat,tekko_prime_blueprint
nekramechowe przekierowanie,necramech_redirection
uszkodzona lufa broni nekramecha,damaged_necramech_weapon_barrel
damaged necramech weapon set,damaged_necramech_weapon_set
uszkodzony korpus broni nekramecha,damaged_necramech_weapon_receiver
zakaźne ugryzienie,infectious_bite
zarodniki paralityczne,paralytic_spores
sierpowa degeneracja,crescent_devolution
pancerna dewolucja,panzer_devolution
zapylanie anaboliczne,anabolic_pollination
primo chwała,primo_flair
kolce jugulus,jugulus_barbs
skorupa saxum,saxum_carapace
ciężka bitwa,hard_engage
ścieżka oparów,vapor_trail
plwocina saxum,saxum_spittle
uszkodzona kolba broni nekramecha,damaged_necramech_weapon_stock
nekramechowy zasięg,necramech_reach
nekramechowa ciągłość,necramech_continuity
wypolerowany embolos,cabochon_embolos
nekramechowe stalowe włókna,necramech_steel_fiber
kręgosłup jugulus,jugulus_spines
damaged necramech set,damaged_necramech_set
oczyszczony hecyfron,purified_heciphron
zakaźne kolce,viral_quills
żuwaczki carnis,carnis_mandible
uszkodzona kapsuła nekramecha,damaged_necramech_pod
nekramechowe tankowanie,necramech_refuel
żądło carnis,carnis_stinger
półksiężycowa szarża,crescent_charge
instynkt przetrwania,survival_instinct
scena: głębi deimos,deimos_underground_scene
scena: dryfu kambionu deimos,deimos_cambion_drift_scene
nezha prime - schemat,nezha_prime_blueprint
guandao prime - schemat,guandao_prime_blueprint
zabójcza kombinacja,combo_killer
pakt sług,thrall_pact
krytyczne wyładowanie,critical_surge
twierdzenie łagodności,theorem_demulcent
sporothrix - schemat,sporothrix_blueprint
nekramechowa wydajność,necramech_efficiency
twierdzenie infekcji,theorem_infection
arum spinosa - schemat,arum_spinosa_blueprint
lotny szybki powrót,volatile_quick_return
siekające szpony,blending_talons
arum spinosa: garda,arum_spinosa_guard
arum spinosa: zestaw,arum_spinosa_set
sporothrix: zestaw,sporothrix_set
pozostające porażenie,residual_shock
burza ognia prime,primed_firestorm
fulminacja prime,primed_fulmination
bonewidow: zestaw,bonewidow_set
bonewidow: kapsuła broni,bonewidow_weapon_pod
bonewidow: okrycie,bonewidow_casing
morgha: kolba,morgha_stock
cortege: lufa,cortege_barrel
nekramechowe wyczucie wroga,necramech_enemy_sense
cortege: kolba,cortege_stock
nekramechowa nagana,necramech_rebuke
cortege: zestaw,cortege_set
bonewidow: kapsuła,bonewidow_capsule
voidrig: zestaw,voidrig_set
nekramechowy awiator,necramech_aviator
rzeźba ayatan hemakara,ayatan_hemakara_sculpture
decurion podwójny prisma,prisma_dual_decurions
cedo: lufa,cedo_barrel
cedo: korpus,cedo_receiver
cedo: zestaw,cedo_set
mirage prime: powłoka - schemat,mirage_prime_chassis_blueprint
kogake prime - schemat,kogake_prime_blueprint
uderzenie szerszenia,hornet_strike
sybaris prime: kolba,sybaris_prime_stock
skalny wzrok,ore_gaze
strażnicza ofensywa,vigilante_offense
magus odnowy,magus_replenish
myśliwska synergia,hunter_synergy
tnące pióra,slicing_feathers
braton vandal: korpus,braton_vandal_receiver
braton vandal: kolba,braton_vandal_stock
atypowy rozkwit,peculiar_bloom
chroma prime: zestaw,chroma_prime_set
kubrow raksa: genotyp,raksa_kubrow_imprint
rubico prime: zestaw,rubico_prime_set
gram prime - schemat,gram_prime_blueprint
zasadzka,ambush
scena: komnata hunhowa,hunhows_chamber_scene
scena: więzienie lua,lua_containment_scene
scena: kapliczka srebrzystego gaju,silver_grove_shrine_scene
syntetyczny refleks,synth_reflex
syntetyczne rozłożenie,synth_deconstruct
aport,fetch
techniczne wzmocnienie,tek_enhance
druzgocące spustoszenie,crashing_havoc
spira prime: kabura,spira_prime_pouch
tranzystorowa tarcza,transistor_shield
przyspieszony podajnik,shell_rush
sheev - schemat,sheev_blueprint
sheev: rękojeść,sheev_hilt
banshee prime: zestaw,banshee_prime_set
vauban prime: zestaw,vauban_prime_set
walc mesy,mesas_waltz
fragor prime - schemat,fragor_prime_blueprint
"pustynny władca, inaros",sands_of_inaros
fragor prime: rękojeść,fragor_prime_handle
vauban prime: systemy - schemat,vauban_prime_systems_blueprint
rozproszone piekło,scattering_inferno
kaszas: drzewce,kaszas_handle
bank tesli,tesla_bank
kierowany wizerunek,guided_effigy
utrzymane przymierze,lasting_covenant
błyskawiczne skrzydłoostrze,razorwing_blitz
magus chmury,magus_cloud
pomsta,revenge
skażony cios,corrupt_charge
równowaga,equilibrium
carrier prime: mózg,carrier_prime_cerebrum
ostateczny zwiastun,final_harbinger
burston prime: zestaw,burston_prime_set
loki prime: zestaw,loki_prime_set
nova prime: zestaw,nova_prime_set
nyx prime: zestaw,nyx_prime_set
soma prime: zestaw,soma_prime_set
mgnienie,twitch
toksyczne wyniesienie,venomous_rise
wzmacniacz adrenaliny,adrenaline_boost
ślepy strzał,blind_shot
wyłącznik awaryjny,kill_switch
saryn prime: powłoka - schemat,saryn_prime_chassis_blueprint
myśliwskie zaopatrzenie,hunter_munitions
tiberon prime: korpus,tiberon_prime_receiver
amunicja meteorytowa,meteor_munitions
arkanum przyspieszenia,arcane_acceleration
wróżbiarski poszukiwacz,augur_seeker
chwilowa przerwa,momentary_pause
wieczna wojna,eternal_war
boltor prime: lufa,boltor_prime_barrel
gladiatorski pośpiech,gladiator_rush
strażniczy wigor,vigilante_vigor
braton prime: korpus,braton_prime_receiver
przeładowanie detektorów,overcharge_detectors
oddalenie,overview
cenna zdobycz,prize_kill
szybkie ładowanie,quick_charge
mutator karabinowy prime,primed_rifle_ammo_mutation
amunicja tnąca,razor_munitions
arkanum arachne,arcane_arachne
arkanum rozpędu,arcane_momentum
arkanum precyzji,arcane_precision
opanowanie i amok,calm_and_frenzy
pokojowa prowokacja,peaceful_provocation
saryn prime: systemy - schemat,saryn_prime_systems_blueprint
radiolokalizator delta,delta_beacon
nikana prime - schemat,nikana_prime_blueprint
ozdrowienie,recover
nikana prime: ostrze,nikana_prime_blade
wulkaniczny przepływ,pyroclastic_flow
przewodzące ostrze,conductive_blade
zephyr prime: neuroptyka - schemat,zephyr_prime_neuroptics_blueprint
zephyr prime: zestaw,zephyr_prime_set
zgrzytająca payara,gnashing_payara
kronen prime - schemat,kronen_prime_blueprint
tiberon prime: lufa,tiberon_prime_barrel
kronen prime: ostrze,kronen_prime_blade
wiatry czystości,winds_of_purity
odwet,retribution
pod napięciem,live_wire
ivara prime: zestaw,ivara_prime_set
fragment dowodu,proof_fragment
wzmocniony kołczan,empowered_quiver
nienasycony,insatiable
energiczna zmiana,vigorous_swap
anemiczna zręczność,anemic_agility
ochronny przewrót,rolling_guard
płomień wylotowy,muzzle_flash
scena: pompa wodna lasu grineer,grineer_forest_water_pump_scene
eksodia potęgi,exodia_might
mszcząca prawda,avenging_truth
mirage prime: neuroptyka - schemat,mirage_prime_neuroptics_blueprint
scena: schronienie teshina,teshins_refuge_scene
ballistica prime: górne ramię,ballistica_prime_upper_limb
podwójne pociski,dual_rounds
orvius: ostrze,orvius_blade
obciążony magazynek,burdened_magazine
nami skyla prime - schemat,nami_skyla_prime_blueprint
przyspieszenie dźwiękowe,sonic_boost
paks sworzni,pax_bolt
akjagara prime: zestaw,akjagara_prime_set
akjagara prime: połączenie,akjagara_prime_link
magus stopienia,magus_melt
rezolutne skupienie,resolute_focus
magus zapory,magus_firewall
magus zniszczenia,magus_destruct
klątwa suszy,desiccations_curse
stradavar prime: lufa,stradavar_prime_barrel
stradavar prime: kolba,stradavar_prime_stock
zestaw naprawczy,repair_kit
powietrzny margines,aero_periphery
podbicie antygrawitacyjne,anti_grav_array
powietrzna zwinność,aero_agility
gracja kavata,kavats_grace
pole stazy,stasis_field
promień ściągający,tractor_beam
protonowe przywarcie,proton_snap
scena: domek klubowy nawiewniaków,ventkids_clubhouse_scene
scena: niższe foyer gazozo,gas_city_lower_foyer_scene
scena: korytarz gazozo,gas_city_corridors_scene
scena: regulatory gazozo,gas_city_regulators_scene
zdobiona komora,primed_chamber
odonata prime: skrzydła - schemat,odonata_prime_wings_blueprint
poszukująca furia,seeking_fury
soczewka naramon eidolon,eidolon_naramon_lens
meteorytowa katastrofa,meteor_crash
tiberon prime: kolba,tiberon_prime_stock
magus skorupy,magus_husk
magus wzniosłości,magus_elevate
myśliwskie odrodzenie,hunter_recovery
obrońca,guardian
mirage prime: zestaw,mirage_prime_set
cień dymu,smoke_shadow
spectra vandal: chwyt,spectra_vandal_handle
spectra vandal - schemat,spectra_vandal_blueprint
miażdżąca seria,shatter_burst
quanta wyłomu,breach_quanta
więzy,tether
gremlin podwójny prisma,prisma_twin_gremlins
niebiański zmrok,celestial_nightfall
elektryczny nabój prime,primed_charged_shell
akjagara prime: lufa,akjagara_prime_barrel
naładowane pociski,charged_bullets
taran cząsteczkowy,particle_ram
impuls zaćmienia,blackout_pulse
pociski podkalibrowe,sabot_rounds
rubico prime: korpus,rubico_prime_receiver
galatine prime: ostrze,galatine_prime_blade
gram prime: zestaw,gram_prime_set
tigris sancti,sancti_tigris
rubico prime: kolba,rubico_prime_stock
nekros prime - schemat,nekros_prime_blueprint
trinity prime: systemy - schemat,trinity_prime_systems_blueprint
wzmacniacz pistoletu,pistol_amp
przygotowanie,preparation
titania prime: powłoka - schemat,titania_prime_chassis_blueprint
corinth prime: kolba,corinth_prime_stock
corinth prime - schemat,corinth_prime_blueprint
titania prime: systemy - schemat,titania_prime_systems_blueprint
nekramechowa intensyfikacja,necramech_intensify
furia,fury
antytoksyna citrine,citrine_antitoxin
pathocyst: podkora,pathocyst_subcortex
atlas prime: systemy - schemat,atlas_prime_systems_blueprint
atlas prime: neuroptyka - schemat,atlas_prime_neuroptics_blueprint
atlas prime - schemat,atlas_prime_blueprint
dethcube prime: systemy,dethcube_prime_systems
pyrana prime: zestaw,pyrana_prime_set
grobowa cisza,savage_silence
chakram żniw,reaping_chakram
supra vandal,supra_vandal
limbo prime - schemat,limbo_prime_blueprint
braton vandal: lufa,braton_vandal_barrel
pustoszyciel,ravage
destreza prime - schemat,destreza_prime_blueprint
klucz główny,master_key
poza zasięgiem wzroku,out_of_sight
khra,khra
lohk,lohk
krew za amunicję,blood_for_ammo
tryb awaryjny,failsafe
krew za energię,blood_for_energy
xata,xata
podzielony lot,split_flights
gram prime: ostrze,gram_prime_blade
woltaiczny cios,voltaic_strike
limbo prime: powłoka - schemat,limbo_prime_chassis_blueprint
rzeźba ayatan anasa,ayatan_anasa_sculpture
lato vandal: korpus,lato_vandal_receiver
techniczny atak,tek_assault
techniczna grawitacja,tek_gravity
techniczny dodatek,tek_collateral
syntetyczny ładunek,synth_charge
mecha przesterowanie,mecha_overdrive
podzielna gwiazda,star_divide
spira prime: ostrze,spira_prime_blade
snipetron vandal: korpus,snipetron_vandal_receiver
pole energetyczne,energy_field
zodiakalny strzęp,zodiac_shred
wyrzutnie,air_thrusters
regeneracja prime,primed_regen
instynkt strzelca,rifle_aptitude
wróżbiarski pakt,augur_pact
pęd teleportacji,fatal_teleport
ssawka,proboscis
furor,furor
zjadliwa plaga,virulent_scourge
lex prime: korpus,lex_prime_receiver
tnąca deska,slay_board
mesa prime: neuroptyka - schemat,mesa_prime_neuroptics_blueprint
redeemer prime: rękojeść,redeemer_prime_handle
krytyczne skupienie,critical_focus
taśma amunicyjna,ammo_chain
scena: cetus,cetus_scene
infuzja jonów,ion_infusion
wilczy kafar: rękojeść,wolf_sledge_handle
equinox prime: zestaw,equinox_prime_set
nekramechowa fala sejsmiczna,necramech_seismic_wave
nekramechowe rozciągnięcie,necramech_stretch
scena: pustki granuma,granum_void_scene
bhisaj-bal,bhisaj_bal
nekramechowe odbicie,necramech_deflection
botanik,botanist
wściekła kombinacja,combo_fury
guandao prime: zestaw,guandao_prime_set
zakti prime: zestaw,zakti_prime_set
pozostający czyrak,residual_boils
sporothrix: korpus,sporothrix_receiver
nekramechowy przepływ,necramech_flow
lotny pasożyt,volatile_parasite
pozostająca wiremia,residual_viremia
pozostający odór,residual_malodor
mach-zderzenie,mach_crash
lotny rykoszet,volatile_rebound
sporothrix: lufa,sporothrix_barrel
rzeźba ayatan kitha,ayatan_kitha_sculpture
twierdzenie zakażenia,theorem_contagion
morgha: korpus,morgha_receiver
cortege: korpus,cortege_receiver
voidrig: silnik,voidrig_engine
nekramechowy wróżbita,necramech_augur
bonewidow: silnik,bonewidow_engine
cedo: kolba,cedo_stock
adaptacja,adaptation
strzelec wyborowy,sharpshooter
dar mocy,power_donation
ostrożny strzał,cautious_shot
kontr puls,counter_pulse
baza prime: lufa,baza_prime_barrel
aksomati prime: lufa,aksomati_prime_barrel
grendel systems locator,grendel_systems_locator
spectra vandal: powłoka,spectra_vandal_chassis
spectra vandal: zestaw,spectra_vandal_set
rozpruwacz grineer prime,primed_smite_grineer
scena: sali świadomych,sentient_concourse_scene
grendel chassis locator,grendel_chassis_locator
wygaszenie ognia,fire_suppression
jonowe spalanie,ion_burn
kuźnia bitewna,battle_forge
kojące odłamki,mending_splinters
zepsucie,despoil
spowijająca chmura,enveloping_cloud
prąd strumieniowy,jet_stream
corvas: lufa,corvas_barrel
bezprądowy skok,no_current_leap
błona lotna,patagium
skana prisma,prisma_skana
bronco prime: zestaw,bronco_prime_set
astralne cięcie,astral_slash
zephyr prime: systemy - schemat,zephyr_prime_systems_blueprint
dualność,duality
dynamika ruchu,push_and_pull
bezstratne przeniesienie,efficient_transferral
scena: wyższa logistyka gazozo,gas_city_upper_logistics_scene
soczewka zenurik lua,lua_zenurik_lens
antytoksyna lapis,lapis_antitoxin
antytoksyna vermillion,vermillion_antitoxin
odsłaniający harpun,exposing_harpoon
wydajne promienie,efficient_beams
companion weapon riven mod (veiled),companion_weapon_riven_mod_(veiled)
antytoksyna beryl,beryl_antitoxin
skrupulatny cel,meticulous_aim
soczewka lua - schemat,lua_lens_blueprint
soczewka madurai lua,lua_madurai_lens
antytoksyna topaz,topaz_antitoxin
antytoksyna amethyst,amethyst_antitoxin
soczewka vazarin lua,lua_vazarin_lens
soczewka naramon lua,lua_naramon_lens
arkanum ciężkozbrojne,arcane_tanker
arkanum rewolwerowca,arcane_pistoleer
pathocyst - schemat,pathocyst_blueprint
pathocyst: ostrze,pathocyst_blade
pathocyst: zestaw,pathocyst_set
skoncentrowana strzała,concentrated_arrow
ash prime: zestaw,ash_prime_set
limbo prime: neuroptyka - schemat,limbo_prime_neuroptics_blueprint
transfer energii,energy_transfer
kavat smeeta: genotyp,smeeta_kavat_imprint
chroma prime - schemat,chroma_prime_blueprint
rzeźba ayatan zambuka,ayatan_zambuka_sculpture
automatyczny włam,auto_breach
bez śladu,untraceable
vome,vome
fass,fass
viper wraith podwójny: lufy,twin_vipers_wraith_barrels
wyrafinowany thyst,marquise_thyst
kubrow sahasa: genotyp,sahasa_kubrow_imprint
kubrow huras: genotyp,huras_kubrow_imprint
łzy goblytu,goblite_tears
przyspieszenie nitro,nitro_boost
ekstremalna szybkość,extreme_velocity
paks baterii,pax_charge
mesa prime: zestaw,mesa_prime_set
mesa prime: systemy - schemat,mesa_prime_systems_blueprint
mesa prime: powłoka - schemat,mesa_prime_chassis_blueprint
magus powrotu,magus_revert
staza intruzów,intruder_stasis
hiperostrzał,hyperstrike
drapieżnik,predator
dysza stożkowa,conic_nozzle
przyładowanie,ripload
pennant - schemat,pennant_blueprint
zbiórka,form_up
quellor - schemat,quellor_blueprint
salwa poszukiwawcza,seeker_volley
reaktywna burza,reactive_storm
simulor synoid,synoid_simulor
rubico prime - schemat,rubico_prime_blueprint
trinity prime: powłoka - schemat,trinity_prime_chassis_blueprint
rosnąca siła,growing_power
krew za życie,blood_for_life
jahu,jahu
ris,ris
netra,netra
ivara prime - schemat,ivara_prime_blueprint
aksomati prime - schemat,aksomati_prime_blueprint
shedu: chwyt,shedu_handle
spectra vandal: lufa,spectra_vandal_barrel
kavat vasca: genotyp,vasca_kavat_imprint
rozpruwacz orokin prime,primed_smite_corrupted
grendel neuroptics locator,grendel_neuroptics_locator
artyleria dziobowa,forward_artillery
wir municji,munitions_vortex
scena: komnata lotus,chamber_of_the_lotus_scene
poszukujący shuriken,seeking_shuriken
porażająca prędkość,shocking_speed
arkanum mściciela,arcane_avenger
nekros prime: zestaw,nekros_prime_set
arkanum przywidzenia,arcane_phantasm
nekros prime: systemy - schemat,nekros_prime_systems_blueprint
chroma prime: systemy - schemat,chroma_prime_systems_blueprint
ostatni herold,last_herald
arkanum gniewu,arcane_rage
chroma prime: powłoka - schemat,chroma_prime_chassis_blueprint
galatine prime: zestaw,galatine_prime_set
chroma prime: neuroptyka - schemat,chroma_prime_neuroptics_blueprint
akjagara prime - schemat,akjagara_prime_blueprint
szczep infekcji,strain_infection
błyskawiczna ucieczka,quick_escape
wyłom pustki,void_hole
kwiat śmierci,death_blossom
scena: ołtarza świadomych,sentient_altar_scene
zylok,zylok
galatine prime: rękojeść,galatine_prime_handle
chłodne powitanie,cold_arrival
odwet wściekłości,vexing_retaliation
magus blokady,magus_lockdown
kubrow chesa: genotyp,chesa_kubrow_imprint
cernos rakta,rakta_cernos
pop top,pop_top
kama podwójna prime: ostrze,dual_kamas_prime_blade
kontrolowany ślizg,controlled_slide
łatający wystrzał,mending_shot
pancerny lot,ironclad_flight
pangolin prime: rękojeść,pangolin_prime_handle
corinth prime: zestaw,corinth_prime_set
pangolin prime - schemat,pangolin_prime_blueprint
przeciążacz,overloader
corinth prime: lufa,corinth_prime_barrel
corinth prime: korpus,corinth_prime_receiver
uszkodzone okrycie nekramecha,damaged_necramech_casing
gwiezdna nekratyna,stellated_necrathene
odkażony dagonik,purged_dagonic
transfuzja,transfusion
skorupa carnis,carnis_carapace
skorupa jugulus,jugulus_carapace
chytra degeneracja,sly_devolution
wybuchowa tarcza,blast_shield
grzybnia jatryczna,iatric_mycelium
scena: skarbca deimos,deimos_vault_scene
scena: komnat deimos,deimos_chamber_scene
scena: przełomu deimos,deimos_breakthrough_scene
nekramechowy zmniejszony opór,necramech_streamline
scena: ładunek galeona grineer,grineer_galleon_cargo_scene
scena: orbiter,orbiter_scene
scena: bateria artylerii,artillery_battery_scene
scena: katakumb deimos,deimos_catacombs_scene
scena: tuneli deimos,deimos_tunnels_scene
damzav-vati,damzav_vati
hata-satya,hata_satya
zazvat-kar,zazvat_kar
scena: magazyn corpus,corpus_depository_scene
nekramechowa hydraulika,necramech_hydraulics
nekramechowy cios,necramech_blitz
scena: dystrybucja elementów gazozo,gas_city_element_distribution_scene
nekramechowa furia,necramech_fury
scena: upadku deimos,deimos_downfall_scene
guandao prime: ostrze,guandao_prime_blade
zakti prime - schemat,zakti_prime_blueprint
guandao prime: rękojeść,guandao_prime_handle
zakti prime: lufa,zakti_prime_barrel
nezha prime: systemy - schemat,nezha_prime_systems_blueprint
nezha prime: powłoka - schemat,nezha_prime_chassis_blueprint
zakti prime: korpus,zakti_prime_receiver
nezha prime: neuroptyka - schemat,nezha_prime_neuroptics_blueprint
nezha prime: zestaw,nezha_prime_set
nekramechowy dryf,necramech_drift
sporothrix: kolba,sporothrix_stock
arum spinosa: nit,arum_spinosa_rivet
symbioza męczennika,martyr_symbiosis
nekramechowe tarcie,necramech_friction
nekramechowa naprawa,necramech_repair
voidrig: okrycie,voidrig_casing
morgha: zestaw,morgha_set
lacera ceti - schemat,ceti_lacera_blueprint
nekramechowy szał,necramech_rage
morgha: lufa,morgha_barrel
voidrig: kapsuła,voidrig_capsule
basmu - schemat,basmu_blueprint
voidrig: kapsuła broni,voidrig_weapon_pod
cedo - schemat,cedo_blueprint
octavia prime - schemat,octavia_prime_blueprint
tenora prime - schemat,tenora_prime_blueprint
tenora prime: korpus,tenora_prime_receiver
pandero prime: zestaw,pandero_prime_set
tenora prime: kolba,tenora_prime_stock
tenora prime: zestaw,tenora_prime_set
pandero prime: lufa,pandero_prime_barrel
tenora prime: lufa,tenora_prime_barrel
octavia prime: powłoka - schemat,octavia_prime_chassis_blueprint
octavia prime: neuroptyka - schemat,octavia_prime_neuroptics_blueprint
pandero prime: korpus,pandero_prime_receiver
octavia prime: systemy - schemat,octavia_prime_systems_blueprint
pandero prime - schemat,pandero_prime_blueprint
octavia prime: zestaw,octavia_prime_set
lodowe okowy prime,primed_chilling_grasp
równowaga (steam pinnacle pack),equilibrium_(steam_pinnacle_pack)
znak bestii,mark_of_the_beast
więzienie nihila (klucz),nihils_oubliette_(key)
baro void-signal (klucz),baro_void_signal_(key)
relikt requiem iv,requiem_iv_relic
relikt requiem iii,requiem_iii_relic
relikt requiem ii,requiem_ii_relic
relikt requiem i,requiem_i_relic
relikt axi h3,axi_h3_relic
relikt axi o2,axi_o2_relic
relikt axi k2,axi_k2_relic
relikt axi r1,axi_r1_relic
relikt axi b2,axi_b2_relic
relikt axi l5,axi_l5_relic
relikt axi p1,axi_p1_relic
relikt axi m1,axi_m1_relic
relikt axi d1,axi_d1_relic
relikt axi g2,axi_g2_relic
relikt axi o1,axi_o1_relic
relikt axi v8,axi_v8_relic
relikt axi h2,axi_h2_relic
relikt axi c2,axi_c2_relic
relikt axi a10,axi_a10_relic
relikt axi t5,axi_t5_relic
relikt axi t4,axi_t4_relic
relikt axi g4,axi_g4_relic
relikt axi h1,axi_h1_relic
relikt axi s5,axi_s5_relic
relikt axi v9,axi_v9_relic
relikt axi e2,axi_e2_relic
relikt axi s3,axi_s3_relic
relikt axi b1,axi_b1_relic
relikt axi e1,axi_e1_relic
relikt axi a2,axi_a2_relic
relikt axi t6,axi_t6_relic
relikt axi c6,axi_c6_relic
relikt axi w2,axi_w2_relic
relikt axi a13,axi_a13_relic
relikt axi o5,axi_o5_relic
relikt axi s6,axi_s6_relic
relikt axi c1,axi_c1_relic
relikt axi s8,axi_s8_relic
relikt axi v10,axi_v10_relic
relikt axi s7,axi_s7_relic
relikt axi z1,axi_z1_relic
relikt axi v5,axi_v5_relic
relikt axi a3,axi_a3_relic
relikt axi v7,axi_v7_relic
relikt axi c4,axi_c4_relic
relikt axi l3,axi_l3_relic
relikt axi h4,axi_h4_relic
relikt axi r2,axi_r2_relic
relikt axi a5,axi_a5_relic
relikt axi s4,axi_s4_relic
relikt axi v4,axi_v4_relic
relikt axi l4,axi_l4_relic
relikt axi a4,axi_a4_relic
relikt axi l2,axi_l2_relic
relikt axi o3,axi_o3_relic
relikt axi k3,axi_k3_relic
relikt axi g1,axi_g1_relic
relikt axi t1,axi_t1_relic
relikt axi a9,axi_a9_relic
relikt axi p3,axi_p3_relic
relikt axi d2,axi_d2_relic
relikt axi b3,axi_b3_relic
relikt axi a8,axi_a8_relic
relikt axi w1,axi_w1_relic
relikt axi b4,axi_b4_relic
relikt axi c5,axi_c5_relic
relikt axi a11,axi_a11_relic
relikt axi n3,axi_n3_relic
relikt axi v6,axi_v6_relic
relikt axi n5,axi_n5_relic
relikt axi n4,axi_n4_relic
relikt axi v3,axi_v3_relic
relikt axi n2,axi_n2_relic
relikt axi v2,axi_v2_relic
relikt axi k5,axi_k5_relic
relikt axi t2,axi_t2_relic
relikt axi s2,axi_s2_relic
relikt axi l1,axi_l1_relic
relikt axi a1,axi_a1_relic
relikt axi n1,axi_n1_relic
relikt axi o4,axi_o4_relic
relikt axi k4,axi_k4_relic
relikt axi c3,axi_c3_relic
relikt axi k1,axi_k1_relic
relikt axi a12,axi_a12_relic
relikt axi h5,axi_h5_relic
relikt axi v1,axi_v1_relic
relikt axi t3,axi_t3_relic
relikt axi g3,axi_g3_relic
relikt axi r3,axi_r3_relic
relikt axi a6,axi_a6_relic
relikt axi p2,axi_p2_relic
relikt axi a7,axi_a7_relic
relikt axi n6,axi_n6_relic
relikt axi s1,axi_s1_relic
relikt neo z1,neo_z1_relic
relikt neo b4,neo_b4_relic
relikt neo k1,neo_k1_relic
relikt neo n7,neo_n7_relic
relikt neo b3,neo_b3_relic
relikt neo n6,neo_n6_relic
relikt neo r2,neo_r2_relic
relikt neo z3,neo_z3_relic
relikt neo s12,neo_s12_relic
relikt neo b2,neo_b2_relic
relikt neo o1,neo_o1_relic
relikt neo s6,neo_s6_relic
relikt neo v5,neo_v5_relic
relikt neo r4,neo_r4_relic
relikt neo m3,neo_m3_relic
relikt neo p1,neo_p1_relic
relikt neo i2,neo_i2_relic
relikt neo b1,neo_b1_relic
relikt neo s13,neo_s13_relic
relikt neo n5,neo_n5_relic
relikt neo r1,neo_r1_relic
relikt neo t1,neo_t1_relic
relikt neo s5,neo_s5_relic
relikt neo n15,neo_n15_relic
relikt neo b7,neo_b7_relic
relikt neo p2,neo_p2_relic
relikt neo z7,neo_z7_relic
relikt neo n14,neo_n14_relic
relikt neo g3,neo_g3_relic
relikt neo n11,neo_n11_relic
relikt neo n4,neo_n4_relic
relikt neo v9,neo_v9_relic
relikt neo n12,neo_n12_relic
relikt neo e2,neo_e2_relic
relikt neo z6,neo_z6_relic
relikt neo s14,neo_s14_relic
relikt neo n13,neo_n13_relic
relikt neo d2,neo_d2_relic
relikt neo v4,neo_v4_relic
relikt neo v6,neo_v6_relic
relikt neo m1,neo_m1_relic
relikt neo s9,neo_s9_relic
relikt neo m2,neo_m2_relic
relikt neo z2,neo_z2_relic
relikt neo n9,neo_n9_relic
relikt neo a1,neo_a1_relic
relikt neo v8,neo_v8_relic
relikt neo b5,neo_b5_relic
relikt neo v7,neo_v7_relic
relikt neo n8,neo_n8_relic
relikt neo l1,neo_l1_relic
relikt neo v3,neo_v3_relic
relikt neo v2,neo_v2_relic
relikt neo g2,neo_g2_relic
relikt neo r3,neo_r3_relic
relikt neo z5,neo_z5_relic
relikt neo i1,neo_i1_relic
relikt neo t3,neo_t3_relic
relikt neo n3,neo_n3_relic
relikt neo h1,neo_h1_relic
relikt neo s8,neo_s8_relic
relikt neo s7,neo_s7_relic
relikt neo s3,neo_s3_relic
relikt neo d1,neo_d1_relic
relikt neo c1,neo_c1_relic
relikt neo n10,neo_n10_relic
relikt neo s11,neo_s11_relic
relikt neo e1,neo_e1_relic
relikt neo f1,neo_f1_relic
relikt neo v1,neo_v1_relic
relikt neo n2,neo_n2_relic
relikt neo h2,neo_h2_relic
relikt neo a2,neo_a2_relic
relikt neo g1,neo_g1_relic
relikt neo k2,neo_k2_relic
