pt,slug
hunter synergy,hunter_synergy
slicing feathers,slicing_feathers
braton vandalizada: receptor,braton_vandal_receiver
braton vandalizada: coronha,braton_vandal_stock
peculiar bloom,peculiar_bloom
chroma prime: conjunto,chroma_prime_set
kubrow raksa (código genético),raksa_kubrow_imprint
rubico prime: conjunto,rubico_prime_set
gram prime (diagrama),gram_prime_blueprint
ambush,ambush
cena: câmara do hunhow,hunhows_chamber_scene
cena: contenção lunar,lua_containment_scene
cena: altar do bosque prateado,silver_grove_shrine_scene
synth reflex,synth_reflex
synth deconstruct,synth_deconstruct
fetch,fetch
tek enhance,tek_enhance
crashing havoc,crashing_havoc
spira prime: cartucheira,spira_prime_pouch
escudo transistor,transistor_shield
shell rush,shell_rush
sheev (diagrama),sheev_blueprint
sheev: punho,sheev_hilt
banshee prime: conjunto,banshee_prime_set
vauban prime: conjunto,vauban_prime_set
valsa da mesa,mesas_waltz
fragor prime (diagrama),fragor_prime_blueprint
areias de inaros,sands_of_inaros
fragor prime: cabo,fragor_prime_handle
vauban prime: sistemas (diagrama),vauban_prime_systems_blueprint
scattering inferno,scattering_inferno
kaszas: cabo,kaszas_handle
acúmulo de tesla,tesla_bank
efígie guiada,guided_effigy
pacto eterno,lasting_covenant
assalto feérico,razorwing_blitz
nebulosa do mago,magus_cloud
revenge,revenge
corrupt charge,corrupt_charge
equilibrium,equilibrium
carrier prime: cérebro,carrier_prime_cerebrum
final harbinger,final_harbinger
burston prime: conjunto,burston_prime_set
loki prime: conjunto,loki_prime_set
nova prime: conjunto,nova_prime_set
nyx prime: conjunto,nyx_prime_set
soma prime: conjunto,soma_prime_set
twitch,twitch
venomous rise,venomous_rise
adrenaline boost,adrenaline_boost
blind shot,blind_shot
kill switch,kill_switch
saryn prime: chassi (diagrama),saryn_prime_chassis_blueprint
hunter munitions,hunter_munitions
tiberon prime: receptor,tiberon_prime_receiver
meteor munitions,meteor_munitions
aceleração arcana,arcane_acceleration
augur seeker,augur_seeker
momentary pause,momentary_pause
guerra perpétua,eternal_war
boltor prime: cano,boltor_prime_barrel
gladiator rush,gladiator_rush
vigilante vigor,vigilante_vigor
braton prime: receptor,braton_prime_receiver
overcharge detectors,overcharge_detectors
overview,overview
prize kill,prize_kill
quick charge,quick_charge
primed rifle ammo mutation,primed_rifle_ammo_mutation
razor munitions,razor_munitions
artrópode arcano,arcane_arachne
impulso arcano,arcane_momentum
precisão arcana,arcane_precision
repouso & frenesi,calm_and_frenzy
conflito pacífico,peaceful_provocation
saryn prime: sistemas (diagrama),saryn_prime_systems_blueprint
transmissor delta,delta_beacon
nikana prime (diagrama),nikana_prime_blueprint
recover,recover
nikana prime: lâmina,nikana_prime_blade
fluxo piroclástico,pyroclastic_flow
conductive blade,conductive_blade
zephyr prime: neurovisor (diagrama),zephyr_prime_neuroptics_blueprint
zephyr prime: conjunto,zephyr_prime_set
gnashing payara,gnashing_payara
kronen prime (diagrama),kronen_prime_blueprint
tiberon prime: cano,tiberon_prime_barrel
kronen prime: lâmina,kronen_prime_blade
winds of purity,winds_of_purity
retribution,retribution
live wire,live_wire
ivara prime: conjunto,ivara_prime_set
fragmento do conceito,proof_fragment
aljava fortalecida,empowered_quiver
insaciabilidade,insatiable
vigorous swap,vigorous_swap
anemic agility,anemic_agility
rolling guard,rolling_guard
supressão,muzzle_flash
cena: bombeamento de água grineer florestal,grineer_forest_water_pump_scene
poder de exódia,exodia_might
avenging truth,avenging_truth
mirage prime: neurovisor (diagrama),mirage_prime_neuroptics_blueprint
cena: refúgio do teshin,teshins_refuge_scene
ballistica prime: membro superior,ballistica_prime_upper_limb
dual rounds,dual_rounds
orvius: lâmina,orvius_blade
burdened magazine,burdened_magazine
nami skyla prime (diagrama),nami_skyla_prime_blueprint
sonic boost,sonic_boost
raio de pax,pax_bolt
akjagara prime: conjunto,akjagara_prime_set
akjagara prime: conexão,akjagara_prime_link
fundição do mago,magus_melt
resolute focus,resolute_focus
barreira do mago,magus_firewall
destruição do mago,magus_destruct
dessecação amaldiçoante,desiccations_curse
stradavar prime: cano,stradavar_prime_barrel
stradavar prime: coronha,stradavar_prime_stock
repair kit,repair_kit
aero periphery,aero_periphery
anti-grav array,anti_grav_array
aero agility,aero_agility
kavat's grace,kavats_grace
stasis field,stasis_field
tractor beam,tractor_beam
proton snap,proton_snap
cena: clube dos órfãos dos dutos,ventkids_clubhouse_scene
cena: saguão inferior da cidade de gás,gas_city_lower_foyer_scene
cena: corredores da cidade de gás,gas_city_corridors_scene
cena: reguladores da cidade de gás,gas_city_regulators_scene
primed chamber,primed_chamber
odonata prime: asas (diagrama),odonata_prime_wings_blueprint
seeking fury,seeking_fury
lente naramon (eidolon),eidolon_naramon_lens
meteor crash,meteor_crash
tiberon prime: coronha,tiberon_prime_stock
carapaça do mago,magus_husk
elevação do mago,magus_elevate
hunter recovery,hunter_recovery
guardian,guardian
mirage prime: conjunto,mirage_prime_set
sombra de fumaça,smoke_shadow
spectra vandalizada: cabo,spectra_vandal_handle
spectra vandalizada (diagrama),spectra_vandal_blueprint
explosão de estilhaços,shatter_burst
quanta de ruptura,breach_quanta
tirante restringente,tether
gremlins gêmeas prisma,prisma_twin_gremlins
celestial nightfall,celestial_nightfall
primed charged shell,primed_charged_shell
akjagara prime: cano,akjagara_prime_barrel
charged bullets,charged_bullets
partícula aríete,particle_ram
pulso de interrupção,blackout_pulse
sabot rounds,sabot_rounds
rubico prime: receptor,rubico_prime_receiver
galatine prime: lâmina,galatine_prime_blade
gram prime: conjunto,gram_prime_set
tigris sancti,sancti_tigris
rubico prime: coronha,rubico_prime_stock
nekros prime (diagrama),nekros_prime_blueprint
trinity prime: sistemas (diagrama),trinity_prime_systems_blueprint
pistol amp,pistol_amp
preparation,preparation
titania prime: chassi (diagrama),titania_prime_chassis_blueprint
corinth prime: coronha,corinth_prime_stock
corinth prime (diagrama),corinth_prime_blueprint
titania prime: sistemas (diagrama),titania_prime_systems_blueprint
necramech intensify,necramech_intensify
fury,fury
antitoxina citrino,citrine_antitoxin
pathocista: subcórtex,pathocyst_subcortex
atlas prime: sistemas (diagrama),atlas_prime_systems_blueprint
atlas prime: neurovisor (diagrama),atlas_prime_neuroptics_blueprint
atlas prime (diagrama),atlas_prime_blueprint
dethcube prime: sistemas,dethcube_prime_systems
pyrana prime: conjunto,pyrana_prime_set
silêncio letal,savage_silence
chakram ceifador,reaping_chakram
supra vandalizada,supra_vandal
limbo prime (diagrama),limbo_prime_blueprint
braton vandalizada: cano,braton_vandal_barrel
ravage,ravage
destreza prime (diagrama),destreza_prime_blueprint
master key,master_key
out of sight,out_of_sight
khra,khra
lohk,lohk
blood for ammo,blood_for_ammo
failsafe,failsafe
blood for energy,blood_for_energy
xata,xata
split flights,split_flights
gram prime: lâmina,gram_prime_blade
voltaic strike,voltaic_strike
limbo prime: chassi (diagrama),limbo_prime_chassis_blueprint
escultura ayatan anasa,ayatan_anasa_sculpture
lato vandalizada: receptor,lato_vandal_receiver
tek assault,tek_assault
tek gravity,tek_gravity
tek collateral,tek_collateral
synth charge,synth_charge
mecha overdrive,mecha_overdrive
star divide,star_divide
spira prime: lâmina,spira_prime_blade
snipetron vandalizada: receptor,snipetron_vandal_receiver
campo energético,energy_field
zodiac shred,zodiac_shred
air thrusters,air_thrusters
primed regen,primed_regen
rifle aptitude,rifle_aptitude
augur pact,augur_pact
teleporte célere,fatal_teleport
proboscis,proboscis
furor,furor
virulent scourge,virulent_scourge
lex prime: receptor,lex_prime_receiver
slay board,slay_board
mesa prime: neurovisor (diagrama),mesa_prime_neuroptics_blueprint
redeemer prime: cabo,redeemer_prime_handle
critical focus,critical_focus
ammo chain,ammo_chain
cena: cetus,cetus_scene
ion infusion,ion_infusion
marreta do lobo: cabo,wolf_sledge_handle
equinox prime: conjunto,equinox_prime_set
necramech seismic wave,necramech_seismic_wave
necramech stretch,necramech_stretch
cena: void de granum,granum_void_scene
bhisaj-bal,bhisaj_bal
necramech deflection,necramech_deflection
botanist,botanist
combo fury,combo_fury
guan dao prime: conjunto,guandao_prime_set
zakti prime: conjunto,zakti_prime_set
fervura residual,residual_boils
sporothrix: receptor,sporothrix_receiver
necramech flow,necramech_flow
volatile parasite,volatile_parasite
viremia residual,residual_viremia
catinga residual,residual_malodor
colisão supersônica,mach_crash
volatile rebound,volatile_rebound
sporothrix: cano,sporothrix_barrel
escultura ayatan kitha,ayatan_kitha_sculpture
contágio do teorema,theorem_contagion
morgha: receptor,morgha_receiver
cortege: receptor,cortege_receiver
voidrig: motor,voidrig_engine
necramech augur,necramech_augur
bonewidow: motor,bonewidow_engine
cedo: coronha,cedo_stock
adaptation,adaptation
sharpshooter,sharpshooter
power donation,power_donation
cautious shot,cautious_shot
contra-pulso,counter_pulse
baza prime: cano,baza_prime_barrel
aksomati prime: cano,aksomati_prime_barrel
grendel systems locator,grendel_systems_locator
spectra vandalizada: chassi,spectra_vandal_chassis
spectra vandalizada: conjunto,spectra_vandal_set
primed smite grineer,primed_smite_grineer
cena: saguão sentient,sentient_concourse_scene
grendel chassis locator,grendel_chassis_locator
contenção de incêndio,fire_suppression
ardência iônica,ion_burn
forja de combate,battle_forge
estilhaços reparadores,mending_splinters
despojos profanos,despoil
nuvem envolvente,enveloping_cloud
corrente de jato,jet_stream
corvas: cano,corvas_barrel
no current leap,no_current_leap
patagium,patagium
skana prisma,prisma_skana
bronco prime: conjunto,bronco_prime_set
astral slash,astral_slash
zephyr prime: sistemas (diagrama),zephyr_prime_systems_blueprint
dualidade,duality
empurrão e puxão,push_and_pull
efficient transferral,efficient_transferral
cena: alfândega da cidade de gás,gas_city_upper_logistics_scene
lente zenurik (lunar),lua_zenurik_lens
antitoxina lápis-lazúli,lapis_antitoxin
antitoxina vermillion,vermillion_antitoxin
exposing harpoon,exposing_harpoon
efficient beams,efficient_beams
companion weapon riven mod (veiled),companion_weapon_riven_mod_(veiled)
antitoxina berílio,beryl_antitoxin
meticulous aim,meticulous_aim
lente lunar (diagrama),lua_lens_blueprint
lente madurai (lunar),lua_madurai_lens
antitoxina topázio,topaz_antitoxin
antitoxina ametista,amethyst_antitoxin
lente vazarin (lunar),lua_vazarin_lens
lente naramon (lunar),lua_naramon_lens
tanque arcano,arcane_tanker
pistoleiro arcano,arcane_pistoleer
pathocista (diagrama),pathocyst_blueprint
pathocista: lâmina,pathocyst_blade
pathocista: conjunto,pathocyst_set
flecha concentrada,concentrated_arrow
ash prime: conjunto,ash_prime_set
limbo prime: neurovisor (diagrama),limbo_prime_neuroptics_blueprint
transferência energética,energy_transfer
kavat smeeta (código genético),smeeta_kavat_imprint
chroma prime (diagrama),chroma_prime_blueprint
escultura ayatan zambuka,ayatan_zambuka_sculpture
auto breach,auto_breach
untraceable,untraceable
vome,vome
fass,fass
vipers gêmeas quiméricas: canos,twin_vipers_wraith_barrels
thyst marquesada,marquise_thyst
kubrow sahasa (código genético),sahasa_kubrow_imprint
kubrow huras (código genético),huras_kubrow_imprint
goblite gotejada,goblite_tears
nitro boost,nitro_boost
extreme velocity,extreme_velocity
carga de pax,pax_charge
mesa prime: conjunto,mesa_prime_set
mesa prime: sistemas (diagrama),mesa_prime_systems_blueprint
mesa prime: chassi (diagrama),mesa_prime_chassis_blueprint
reversão do mago,magus_revert
estase de intrusos,intruder_stasis
hiperataque,hyperstrike
predador,predator
bocal cônico,conic_nozzle
recarregamento frenético,ripload
pennant (diagrama),pennant_blueprint
formação,form_up
quellor (diagrama),quellor_blueprint
rajada perseguidora,seeker_volley
tempestade reativa,reactive_storm
simulor synoid,synoid_simulor
rubico prime (diagrama),rubico_prime_blueprint
trinity prime: chassi (diagrama),trinity_prime_chassis_blueprint
growing power,growing_power
blood for life,blood_for_life
jahu,jahu
ris,ris
netra,netra
ivara prime (diagrama),ivara_prime_blueprint
aksomati prime (diagrama),aksomati_prime_blueprint
shedu: cabo,shedu_handle
spectra vandalizada: cano,spectra_vandal_barrel
kavat vasca (código genético),vasca_kavat_imprint
primed smite orokin,primed_smite_corrupted
grendel neuroptics locator,grendel_neuroptics_locator
artilharia frontal,forward_artillery
vórtex de munição,munitions_vortex
cena: câmara da lótus,chamber_of_the_lotus_scene
shuriken perseguidora,seeking_shuriken
velocidade relâmpago,shocking_speed
vingança arcana,arcane_avenger
nekros prime: conjunto,nekros_prime_set
fantasma arcano,arcane_phantasm
nekros prime: sistemas (diagrama),nekros_prime_systems_blueprint
chroma prime: sistemas (diagrama),chroma_prime_systems_blueprint
last herald,last_herald
ira arcana,arcane_rage
chroma prime: chassi (diagrama),chroma_prime_chassis_blueprint
galatine prime: conjunto,galatine_prime_set
chroma prime: neurovisor (diagrama),chroma_prime_neuroptics_blueprint
akjagara prime (diagrama),akjagara_prime_blueprint
strain infection,strain_infection
quick escape,quick_escape
buraco do void,void_hole
flor da morte,death_blossom
cena: altar sentient,sentient_altar_scene
zylok,zylok
galatine prime: cabo,galatine_prime_handle
cold arrival,cold_arrival
retaliação exasperante,vexing_retaliation
isolamento do mago,magus_lockdown
kubrow chesa (código genético),chesa_kubrow_imprint
cernos rakta,rakta_cernos
pop top,pop_top
kamas duplas prime: lâmina,dual_kamas_prime_blade
deslizamento controlado,controlled_slide
mending shot,mending_shot
voo blindado,ironclad_flight
pangolin prime: cabo,pangolin_prime_handle
corinth prime: conjunto,corinth_prime_set
pangolin prime (diagrama),pangolin_prime_blueprint
sobrecarregador,overloader
corinth prime: cano,corinth_prime_barrel
corinth prime: receptor,corinth_prime_receiver
necramech: revestimento danificado,damaged_necramech_casing
necratena estrelada,stellated_necrathene
dagônica expurgada,purged_dagonic
transfusion,transfusion
carnis carapace,carnis_carapace
jugulus carapace,jugulus_carapace
sly devolution,sly_devolution
blast shield,blast_shield
iatric mycelium,iatric_mycelium
cena: câmara de deimos,deimos_vault_scene
cena: cripta de deimos,deimos_chamber_scene
cena: descoberta de deimos,deimos_breakthrough_scene
necramech streamline,necramech_streamline
cena: galeão de carga grineer,grineer_galleon_cargo_scene
cena: orbital,orbiter_scene
cena: bateria de artilharia,artillery_battery_scene
cena: catacumbas de deimos,deimos_catacombs_scene
cena: túneis de deimos,deimos_tunnels_scene
damzav-vati,damzav_vati
hata-satya,hata_satya
zazvat-kar,zazvat_kar
cena: depósito corpus,corpus_depository_scene
necramech hydraulics,necramech_hydraulics
necramech blitz,necramech_blitz
cena: distribuição elemental da cidade de gás,gas_city_element_distribution_scene
necramech fury,necramech_fury
cena: derrocada de deimos,deimos_downfall_scene
guan dao prime: lâmina,guandao_prime_blade
zakti prime (diagrama),zakti_prime_blueprint
guan dao prime: cabo,guandao_prime_handle
zakti prime: cano,zakti_prime_barrel
nezha prime: sistemas (diagrama),nezha_prime_systems_blueprint
nezha prime: chassi (diagrama),nezha_prime_chassis_blueprint
zakti prime: receptor,zakti_prime_receiver
nezha prime: neurovisor (diagrama),nezha_prime_neuroptics_blueprint
nezha prime: conjunto,nezha_prime_set
necramech drift,necramech_drift
sporothrix: coronha,sporothrix_stock
arum spinosa: rebite,arum_spinosa_rivet
martyr symbiosis,martyr_symbiosis
necramech friction,necramech_friction
necramech repair,necramech_repair
voidrig: revestimento,voidrig_casing
morgha: conjunto,morgha_set
ceti lacera (diagrama),ceti_lacera_blueprint
necramech rage,necramech_rage
morgha: cano,morgha_barrel
voidrig: cápsula,voidrig_capsule
basmu (diagrama),basmu_blueprint
voidrig: câmara de arma,voidrig_weapon_pod
cedo (diagrama),cedo_blueprint
octavia prime (diagrama),octavia_prime_blueprint
tenora prime (diagrama),tenora_prime_blueprint
tenora prime: receptor,tenora_prime_receiver
pandero prime: conjunto,pandero_prime_set
tenora prime: coronha,tenora_prime_stock
tenora prime: conjunto,tenora_prime_set
pandero prime: cano,pandero_prime_barrel
tenora prime: cano,tenora_prime_barrel
octavia prime: chassi (diagrama),octavia_prime_chassis_blueprint
octavia prime: neurovisor (diagrama),octavia_prime_neuroptics_blueprint
pandero prime: receptor,pandero_prime_receiver
octavia prime: sistemas (diagrama),octavia_prime_systems_blueprint
pandero prime (diagrama),pandero_prime_blueprint
octavia prime: conjunto,octavia_prime_set
primed chilling grasp,primed_chilling_grasp
equilibrium (steam pinnacle pack),equilibrium_(steam_pinnacle_pack)
mark of the beast,mark_of_the_beast
a prisão de nihil (chave),nihils_oubliette_(key)
baro void-signal (key),baro_void_signal_(key)
relíquia réquiem iv,requiem_iv_relic
relíquia réquiem iii,requiem_iii_relic
relíquia réquiem ii,requiem_ii_relic
relíquia réquiem i,requiem_i_relic
relíquia axi h3,axi_h3_relic
relíquia axi o2,axi_o2_relic
relíquia axi k2,axi_k2_relic
relíquia axi r1,axi_r1_relic
relíquia axi b2,axi_b2_relic
relíquia axi l5,axi_l5_relic
relíquia axi p1,axi_p1_relic
relíquia axi m1,axi_m1_relic
relíquia axi d1,axi_d1_relic
relíquia axi g2,axi_g2_relic
relíquia axi o1,axi_o1_relic
relíquia axi v8,axi_v8_relic
relíquia axi h2,axi_h2_relic
relíquia axi c2,axi_c2_relic
relíquia axi a10,axi_a10_relic
relíquia axi t5,axi_t5_relic
relíquia axi t4,axi_t4_relic
relíquia axi g4,axi_g4_relic
relíquia axi h1,axi_h1_relic
relíquia axi s5,axi_s5_relic
relíquia axi v9,axi_v9_relic
relíquia axi e2,axi_e2_relic
relíquia axi s3,axi_s3_relic
relíquia axi b1,axi_b1_relic
relíquia axi e1,axi_e1_relic
relíquia axi a2,axi_a2_relic
relíquia axi t6,axi_t6_relic
relíquia axi c6,axi_c6_relic
relíquia axi w2,axi_w2_relic
relíquia axi a13,axi_a13_relic
relíquia axi o5,axi_o5_relic
relíquia axi s6,axi_s6_relic
relíquia axi c1,axi_c1_relic
relíquia axi s8,axi_s8_relic
relíquia axi v10,axi_v10_relic
relíquia axi s7,axi_s7_relic
relíquia axi z1,axi_z1_relic
relíquia axi v5,axi_v5_relic
relíquia axi a3,axi_a3_relic
relíquia axi v7,axi_v7_relic
relíquia axi c4,axi_c4_relic
relíquia axi l3,axi_l3_relic
relíquia axi h4,axi_h4_relic
relíquia axi r2,axi_r2_relic
relíquia axi a5,axi_a5_relic
relíquia axi s4,axi_s4_relic
relíquia axi v4,axi_v4_relic
relíquia axi l4,axi_l4_relic
relíquia axi a4,axi_a4_relic
relíquia axi l2,axi_l2_relic
relíquia axi o3,axi_o3_relic
relíquia axi k3,axi_k3_relic
relíquia axi g1,axi_g1_relic
relíquia axi t1,axi_t1_relic
relíquia axi a9,axi_a9_relic
relíquia axi p3,axi_p3_relic
relíquia axi d2,axi_d2_relic
relíquia axi b3,axi_b3_relic
relíquia axi a8,axi_a8_relic
relíquia axi w1,axi_w1_relic
relíquia axi b4,axi_b4_relic
relíquia axi c5,axi_c5_relic
relíquia axi a11,axi_a11_relic
relíquia axi n3,axi_n3_relic
relíquia axi v6,axi_v6_relic
relíquia axi n5,axi_n5_relic
relíquia axi n4,axi_n4_relic
relíquia axi v3,axi_v3_relic
relíquia axi n2,axi_n2_relic
relíquia axi v2,axi_v2_relic
relíquia axi k5,axi_k5_relic
relíquia axi t2,axi_t2_relic
relíquia axi s2,axi_s2_relic
relíquia axi l1,axi_l1_relic
relíquia axi a1,axi_a1_relic
relíquia axi n1,axi_n1_relic
relíquia axi o4,axi_o4_relic
relíquia axi k4,axi_k4_relic
relíquia axi c3,axi_c3_relic
relíquia axi k1,axi_k1_relic
relíquia axi a12,axi_a12_relic
relíquia axi h5,axi_h5_relic
relíquia axi v1,axi_v1_relic
relíquia axi t3,axi_t3_relic
relíquia axi g3,axi_g3_relic
relíquia axi r3,axi_r3_relic
relíquia axi a6,axi_a6_relic
relíquia axi p2,axi_p2_relic
relíquia axi a7,axi_a7_relic
relíquia axi n6,axi_n6_relic
relíquia axi s1,axi_s1_relic
relíquia neo z1,neo_z1_relic
relíquia neo b4,neo_b4_relic
relíquia neo k1,neo_k1_relic
relíquia neo n7,neo_n7_relic
relíquia neo b3,neo_b3_relic
relíquia neo n6,neo_n6_relic
relíquia neo r2,neo_r2_relic
relíquia neo z3,neo_z3_relic
relíquia neo s12,neo_s12_relic
relíquia neo b2,neo_b2_relic
relíquia neo o1,neo_o1_relic
relíquia neo s6,neo_s6_relic
relíquia neo v5,neo_v5_relic
relíquia neo r4,neo_r4_relic
relíquia neo m3,neo_m3_relic
relíquia neo p1,neo_p1_relic
relíquia neo i2,neo_i2_relic
relíquia neo b1,neo_b1_relic
relíquia neo s13,neo_s13_relic
relíquia neo n5,neo_n5_relic
relíquia neo r1,neo_r1_relic
relíquia neo t1,neo_t1_relic
relíquia neo s5,neo_s5_relic
relíquia neo n15,neo_n15_relic
relíquia neo b7,neo_b7_relic
relíquia neo p2,neo_p2_relic
relíquia neo z7,neo_z7_relic
relíquia neo n14,neo_n14_relic
relíquia neo g3,neo_g3_relic
relíquia neo n11,neo_n11_relic
relíquia neo n4,neo_n4_relic
relíquia neo v9,neo_v9_relic
relíquia neo n12,neo_n12_relic
relíquia neo e2,neo_e2_relic
relíquia neo z6,neo_z6_relic
relíquia neo s14,neo_s14_relic
relíquia neo n13,neo_n13_relic
relíquia neo d2,neo_d2_relic
relíquia neo v4,neo_v4_relic
relíquia neo v6,neo_v6_relic
relíquia neo m1,neo_m1_relic
relíquia neo s9,neo_s9_relic
relíquia neo m2,neo_m2_relic
relíquia neo z2,neo_z2_relic
relíquia neo n9,neo_n9_relic
relíquia neo a1,neo_a1_relic
relíquia neo v8,neo_v8_relic
relíquia neo b5,neo_b5_relic
relíquia neo v7,neo_v7_relic
relíquia neo n8,neo_n8_relic
relíquia neo l1,neo_l1_relic
relíquia neo v3,neo_v3_relic
relíquia neo v2,neo_v2_relic
relíquia neo g2,neo_g2_relic
relíquia neo r3,neo_r3_relic
relíquia neo z5,neo_z5_relic
relíquia neo i1,neo_i1_relic
relíquia neo t3,neo_t3_relic
relíquia neo n3,neo_n3_relic
relíquia neo h1,neo_h1_relic
relíquia neo s8,neo_s8_relic
relíquia neo s7,neo_s7_relic
relíquia neo s3,neo_s3_relic
relíquia neo d1,neo_d1_relic
relíquia neo c1,neo_c1_relic
relíquia neo n10,neo_n10_relic
relíquia neo s11,neo_s11_relic
relíquia neo e1,neo_e1_relic
relíquia neo f1,neo_f1_relic
relíquia neo v1,neo_v1_relic
relíquia neo n2,neo_n2_relic
relíquia neo h2,neo_h2_relic
relíquia neo a2,neo_a2_relic
relíquia neo g1,neo_g1_relic
relíquia neo k2,neo_k2_relic
relíquia neo n1,neo_n1_relic
relíquia neo b6,neo_b6_relic
relíquia neo s2,neo_s2_relic
relíquia neo a3,neo_a3_relic
relíquia neo z4,neo_z4_relic
relíquia neo t2,neo_t2_relic
relíquia neo a4,neo_a4_relic
relíquia neo s10,neo_s10_relic
relíquia neo s1,neo_s1_relic
relíquia meso t2,meso_t2_relic
relíquia meso t1,meso_t1_relic
relíquia meso o2,meso_o2_relic
relíquia meso s6,meso_s6_relic
relíquia meso m1,meso_m1_relic
relíquia meso v5,meso_v5_relic
relíquia meso n7,meso_n7_relic
relíquia meso k2,meso_k2_relic
relíquia meso a2,meso_a2_relic
relíquia meso n4,meso_n4_relic
relíquia meso s5,meso_s5_relic
relíquia meso o1,meso_o1_relic
relíquia meso c5,meso_c5_relic
relíquia meso r3,meso_r3_relic
relíquia meso e4,meso_e4_relic
relíquia meso v4,meso_v4_relic
relíquia meso n8,meso_n8_relic
relíquia meso s4,meso_s4_relic
relíquia meso n6,meso_n6_relic
relíquia meso n3,meso_n3_relic
relíquia meso f2,meso_f2_relic
relíquia meso t4,meso_t4_relic
relíquia meso d6,meso_d6_relic
relíquia meso p4,meso_p4_relic
relíquia meso o4,meso_o4_relic
relíquia meso s3,meso_s3_relic
relíquia meso n11,meso_n11_relic
relíquia meso d5,meso_d5_relic
relíquia meso g2,meso_g2_relic
relíquia meso c6,meso_c6_relic
relíquia meso v3,meso_v3_relic
relíquia meso k1,meso_k1_relic
relíquia meso h1,meso_h1_relic
relíquia meso m2,meso_m2_relic
relíquia meso a1,meso_a1_relic
relíquia meso z2,meso_z2_relic
relíquia meso p1,meso_p1_relic
relíquia meso b3,meso_b3_relic
relíquia meso c2,meso_c2_relic
relíquia meso o3,meso_o3_relic
relíquia meso s7,meso_s7_relic
relíquia meso b2,meso_b2_relic
relíquia meso z1,meso_z1_relic
relíquia meso d2,meso_d2_relic
relíquia meso f1,meso_f1_relic
relíquia meso s2,meso_s2_relic
relíquia meso l1,meso_l1_relic
relíquia meso c4,meso_c4_relic
relíquia meso r2,meso_r2_relic
relíquia meso n9,meso_n9_relic
relíquia meso b4,meso_b4_relic
relíquia meso i1,meso_i1_relic
relíquia meso k3,meso_k3_relic
relíquia meso n10,meso_n10_relic
relíquia meso p3,meso_p3_relic
relíquia meso p2,meso_p2_relic
relíquia meso s1,meso_s1_relic
relíquia meso g1,meso_g1_relic
relíquia meso c3,meso_c3_relic
relíquia meso n5,meso_n5_relic
relíquia meso v1,meso_v1_relic
relíquia meso b1,meso_b1_relic
relíquia meso e2,meso_e2_relic
relíquia meso z3,meso_z3_relic
relíquia meso m3,meso_m3_relic
relíquia meso f3,meso_f3_relic
relíquia meso e1,meso_e1_relic
relíquia meso n2,meso_n2_relic
relíquia meso v2,meso_v2_relic
relíquia meso r1,meso_r1_relic
relíquia meso d3,meso_d3_relic
relíquia meso t3,meso_t3_relic
relíquia meso s8,meso_s8_relic
relíquia meso c1,meso_c1_relic
relíquia meso e5,meso_e5_relic
relíquia meso n1,meso_n1_relic
relíquia meso e3,meso_e3_relic
relíquia meso d4,meso_d4_relic
relíquia meso w1,meso_w1_relic
relíquia meso v6,meso_v6_relic
relíquia meso s9,meso_s9_relic
relíquia meso d1,meso_d1_relic
relíquia lith h2,lith_h2_relic
relíquia lith z1,lith_z1_relic
relíquia lith b1,lith_b1_relic
relíquia lith a2,lith_a2_relic
relíquia lith l1,lith_l1_relic
relíquia lith w1,lith_w1_relic
relíquia lith v4,lith_v4_relic
relíquia lith s6,lith_s6_relic
relíquia lith n3,lith_n3_relic
relíquia lith n4,lith_n4_relic
relíquia lith m5,lith_m5_relic
relíquia lith c6,lith_c6_relic
relíquia lith c5,lith_c5_relic
relíquia lith v6,lith_v6_relic
relíquia lith v3,lith_v3_relic
relíquia lith b4,lith_b4_relic
relíquia lith n2,lith_n2_relic
relíquia lith g1,lith_g1_relic
relíquia lith i1,lith_i1_relic
relíquia lith t5,lith_t5_relic
relíquia lith g3,lith_g3_relic
relíquia lith b8,lith_b8_relic
relíquia lith d4,lith_d4_relic
relíquia lith t3,lith_t3_relic
relíquia lith s9,lith_s9_relic
relíquia lith s5,lith_s5_relic
relíquia lith c7,lith_c7_relic
relíquia lith k4,lith_k4_relic
relíquia lith t4,lith_t4_relic
relíquia lith n6,lith_n6_relic
relíquia lith b7,lith_b7_relic
relíquia lith p5,lith_p5_relic
relíquia lith d3,lith_d3_relic
relíquia lith n5,lith_n5_relic
relíquia lith p4,lith_p4_relic
relíquia lith s4,lith_s4_relic
relíquia lith s7,lith_s7_relic
relíquia lith c2,lith_c2_relic
relíquia lith k2,lith_k2_relic
relíquia lith b6,lith_b6_relic
relíquia lith m3,lith_m3_relic
relíquia lith c4,lith_c4_relic
relíquia lith m2,lith_m2_relic
relíquia lith v2,lith_v2_relic
relíquia lith o2,lith_o2_relic
relíquia lith p1,lith_p1_relic
relíquia lith t2,lith_t2_relic
relíquia lith v5,lith_v5_relic
relíquia lith b3,lith_b3_relic
relíquia lith n1,lith_n1_relic
relíquia lith k1,lith_k1_relic
relíquia lith c1,lith_c1_relic
relíquia lith w2,lith_w2_relic
relíquia lith s10,lith_s10_relic
relíquia lith p3,lith_p3_relic
relíquia lith d2,lith_d2_relic
relíquia lith m6,lith_m6_relic
relíquia lith s3,lith_s3_relic
